 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 04/03/2010   17:34:06
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:34:10  |  General  |  Info  |  destroy layer 'Fade'  |  .\src\MyGUI_LayerManager.cpp  |  292
17:34:10  |  General  |  Info  |  destroy layer 'Statistic'  |  .\src\MyGUI_LayerManager.cpp  |  292
17:34:10  |  General  |  Info  |  LayerManager successfully shutdown  |  .\src\MyGUI_LayerManager.cpp  |  96
17:34:10  |  General  |  Info  |  * Shutdown: FontManager  |  .\src\MyGUI_FontManager.cpp  |  55
17:34:10  |  General  |  Info  |  FontManager successfully shutdown  |  .\src\MyGUI_FontManager.cpp  |  59
17:34:10  |  General  |  Info  |  * Shutdown: ControllerManager  |  .\src\MyGUI_ControllerManager.cpp  |  47
17:34:10  |  General  |  Info  |  ControllerManager successfully shutdown  |  .\src\MyGUI_ControllerManager.cpp  |  52
17:34:10  |  General  |  Info  |  * Shutdown: ClipboardManager  |  .\src\MyGUI_ClipboardManager.cpp  |  51
17:34:10  |  General  |  Info  |  ClipboardManager successfully shutdown  |  .\src\MyGUI_ClipboardManager.cpp  |  53
17:34:10  |  General  |  Info  |  * Shutdown: LayoutManager  |  .\src\MyGUI_LayoutManager.cpp  |  54
17:34:10  |  General  |  Info  |  LayoutManager successfully shutdown  |  .\src\MyGUI_LayoutManager.cpp  |  58
17:34:10  |  General  |  Info  |  * Shutdown: PluginManager  |  .\src\MyGUI_PluginManager.cpp  |  47
17:34:10  |  General  |  Info  |  PluginManager successfully shutdown  |  .\src\MyGUI_PluginManager.cpp  |  52
17:34:10  |  General  |  Info  |  * Shutdown: DynLibManager  |  .\src\MyGUI_DynLibManager.cpp  |  43
17:34:10  |  General  |  Info  |  DynLibManager successfully shutdown  |  .\src\MyGUI_DynLibManager.cpp  |  57
17:34:10  |  General  |  Info  |  * Shutdown: LanguageManager  |  .\src\MyGUI_LanguageManager.cpp  |  51
17:34:10  |  General  |  Info  |  LanguageManager successfully shutdown  |  .\src\MyGUI_LanguageManager.cpp  |  55
17:34:10  |  General  |  Info  |  * Shutdown: ResourceManager  |  .\src\MyGUI_ResourceManager.cpp  |  60
17:34:10  |  General  |  Info  |  ResourceManager successfully shutdown  |  .\src\MyGUI_ResourceManager.cpp  |  71
17:34:10  |  General  |  Info  |  * Shutdown: WidgetManager  |  .\src\MyGUI_WidgetManager.cpp  |  100
17:34:10  |  General  |  Info  |  * Unregister widget factory 'Widget'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'Button'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'Window'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'List'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'HScroll'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'VScroll'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'Edit'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'ComboBox'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'StaticText'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'Tab'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'TabItem'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'Progress'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'ItemBox'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'MultiList'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'StaticImage'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'Message'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'RenderBox'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'MenuCtrl'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'MenuItem'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'PopupMenu'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'MenuBar'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'ScrollView'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'DDContainer'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  * Unregister widget factory 'Canvas'  |  .\src\MyGUI_WidgetManager.cpp  |  125
17:34:10  |  General  |  Info  |  WidgetManager successfully shutdown  |  .\src\MyGUI_WidgetManager.cpp  |  111
17:34:10  |  General  |  Info  |  Gui successfully shutdown  |  .\src\MyGUI_Gui.cpp  |  162
